"uid","namedLocation","date","eventID","domainID","siteID","plotID","individualID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks","recordedBy","measuredBy","dataQF"
"37ec48e3-d083-41a2-99f6-bcc06c9042de","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04993","ok","sapling","Live",NA,NA,1.2,NA,NA,NA,NA,NA,NA,"",2.5,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"016b234e-1969-4197-ac9e-ca68f021c647","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04960","ok","small tree","Live",5.2,130,3.4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"d2b78783-86f6-49f5-ba2f-a3f3e6276c4d","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04980","ok","small tree","Live",9.1,130,6.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"c7d8f9fd-6e0f-43ad-a173-1266ba3e3280","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04972","ok","small tree","Live",4.2,130,4.8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"7374eb21-9f90-421b-a886-884f300bcd11","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04846","ok","small shrub","Live",NA,NA,0.7,NA,NA,NA,0.9,0.3,NA,"inverted cone",1.2,10,0.1,0.1,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"3fb3f330-15e2-42b9-8cbe-4f7c6cf66836","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04968","ok","sapling","Live",NA,NA,0.7,NA,NA,NA,NA,NA,NA,"",1.8,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"c6dd77d6-9a86-4896-bcd5-abbb5572908f","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04955","ok","sapling","Live",NA,NA,0.9,NA,NA,NA,NA,NA,NA,"",1.1,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"1fd87b9f-1cb9-419a-91a6-2163664c3fc5","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04985","ok","single bole tree","Live, physically damaged",42.2,130,27.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Bole damage","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"d2488670-87a1-4780-a1ef-88e5e331107d","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04961","ok","single bole tree","Live, disease damaged",11.5,130,5.9,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Shelf fungi","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
"fd50a6a2-f6c8-4074-90a6-b1ebbbc64341","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","NEON.PLA.D16.WREF.04958","ok","sapling","Live",NA,NA,1.6,NA,NA,NA,NA,NA,NA,"",2.1,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","legacyData"
