"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","cfcOnlyTag","individualID","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks","measuredBy","recordedBy","dataQF"
"42d5b28f-1142-4d1b-a9c8-babb0458b59e","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","4","61",6.3,224.1,"N","NEON.PLA.D16.WREF.04961",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","taxon verified 2017, JZ","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"b5d9d02e-8ca6-4dbf-9ed1-eef21dbfe81f","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04995",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=",NA
"367eae10-c17a-422e-a446-fbafea4fbb8b","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1","41",12.1,45.9,"N","NEON.PLA.D16.WREF.04986",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"cf. species","taxon verified 2017, JZ","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"3de7a3ae-a153-4d11-be62-eb96b0bad3d3","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04898",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"6f022e8b-459e-4afd-9dbd-edbae0ba3dbb","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04895",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"a924e0a8-53b7-47b2-a25a-6beffab81a47","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04885",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"085e698a-152a-4d8e-ab99-cfa0b12b4f3c","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.04977",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","taxon verified 2017, JZ","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"7e59cbfc-7040-4b8c-b5ce-4284fa194d19","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1","41",2.6,90.6,"N","NEON.PLA.D16.WREF.04983",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","VST Plot Mapper shows as outside plot but it is inside with tapes","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"88063b4f-848c-40df-90c1-02c2c7d51b18","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04889",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"b4a62b00-d496-459c-a492-277b8b1e357a","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1","21",2.8,82.9,"N","NEON.PLA.D16.WREF.04890",NA,NA,"NEON.DOC.000987vG","THPL","Thuja plicata Donn ex D. Don","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
